0: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
1: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
2: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
3: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
4: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
5: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
6: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
7: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
8: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
9: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
10: INJECTING SNAPSHOT UPDATE:0, SIGNAL:B
11: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
12: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
13: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
14: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
15: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
16: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
17: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
18: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
19: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
20: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
21: INJECTING SNAPSHOT UPDATE:0, SIGNAL:D
22: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
23: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
24: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
25: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
26: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
27: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
28: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
29: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
30: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
31: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
32: INJECTING SNAPSHOT UPDATE:0, SIGNAL:B
33: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
34: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
35: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
37: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
38: INJECTING SNAPSHOT UPDATE:32, SIGNAL:C
39: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
40: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
41: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
42: INJECTING SNAPSHOT UPDATE:16, SIGNAL:C
43: INJECTING SNAPSHOT UPDATE:16, SIGNAL:C
44: INJECTING SNAPSHOT UPDATE:16, SIGNAL:D
45: INJECTING SNAPSHOT UPDATE:24, SIGNAL:A
46: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
47: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
48: INJECTING SNAPSHOT UPDATE:4, SIGNAL:A
49: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
50: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
51: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
52: INJECTING SNAPSHOT UPDATE:2, SIGNAL:A
53: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
54: INJECTING SNAPSHOT UPDATE:0, SIGNAL:A
55: INJECTING SNAPSHOT UPDATE:1, SIGNAL:B
56: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
57: INJECTING SNAPSHOT UPDATE:0, SIGNAL:C
